x,y,z,xvel,yvel,zvel
-0.05550257063753637,-0.026886018238562757,0.264030913009739,8.867680835266134,4.288018872603981,-42.107413915865024
-0.11216426253059748,-0.054312188645557494,0.533380540428934,-2.2664676757224447,-1.0970468162797895,10.773985096767799
-0.13459711503671698,-0.06517462637466899,0.6400566485147209,-0.8973141002447799,-0.43449750916445984,4.267044323431475
-0.19005788560501466,-0.09204021242191192,0.9038882577505148,-2.218430822731907,-1.0746234418897171,10.553264369431758
-0.24541683482371107,-0.11891191767092009,1.1674510304051773,-2.2143579687478567,-1.0748682099603268,10.542510906186497
-0.23899763115091693,-0.11580828296654136,1.1369103234764737,0.2567681469117655,0.1241453881751492,-1.2216282771481435
-0.23476491806732636,-0.11349249535185235,1.1182866185883338,0.16930852334362312,0.09263150458756031,-0.7449481955255965
-0.25928504917467216,-0.12532855669311133,1.2352678342202137,-0.980805244293832,-0.473442453650359,4.679248625275196
-0.2531606434946917,-0.12103380794346089,1.218164795893291,0.2449762271992184,0.1717899499860176,-0.6841215330769046
-0.24368520590527526,-0.11480943353277814,1.193227200491962,0.3790175035766574,0.2489749764273097,-0.9975038160531646
-0.23753690027446153,-0.11019242101158133,1.195155706867403,0.2459322252325491,0.18468050084787246,0.07714025501764254
-0.2261527750543435,-0.1034795342011335,1.1804681580981524,0.4553650088047212,0.2685154724179134,-0.5875019507700241
-0.21765633800521175,-0.09833923716892683,1.193539014957916,0.33985748196527,0.2056118812882668,0.5228342743905401
-0.20394126677738417,-0.09264501276080886,1.1816798073030232,0.5486028491131034,0.2277689763247187,-0.47436830619570713
-0.19167016853977456,-0.08871934609711693,1.1768129551380295,0.49084392950438427,0.15702666654767716,-0.19467408659974872
-0.18094062865758267,-0.08680317260660117,1.1793411578774993,0.4291815952876754,0.0766469396206304,0.1011281095787897
-0.1717919149666334,-0.0869241219875853,1.1905337447903248,0.3659485476379709,-0.004837975239365133,0.44770347651302167
-0.16273481469943393,-0.08784414244650833,1.1886249934962796,0.3622840106879788,-0.03680081835692128,-0.07635005176180876
